epoch,IoU,accuracy,loss,val_IoU,val_accuracy,val_loss
0,0.46120598912239075,0.9138966798782349,5.111684322357178,0.4622257947921753,0.9223329424858093,0.4010920822620392
1,0.46120598912239075,0.9211517572402954,0.22799000144004822,0.4622257947921753,0.9223329424858093,0.2420233190059662
2,0.46120598912239075,0.9245002865791321,0.21161627769470215,0.4622257947921753,0.9225236177444458,0.2258460968732834
3,0.4612061381340027,0.9329620003700256,0.19124872982501984,0.4622257947921753,0.9246497750282288,0.22942501306533813
4,0.46120598912239075,0.9386476278305054,0.17334090173244476,0.4622257947921753,0.9254289269447327,0.21417632699012756
5,0.46122896671295166,0.9418599009513855,0.1649237871170044,0.4622257947921753,0.9381129145622253,0.18044385313987732
6,0.46129143238067627,0.9436584115028381,0.15845078229904175,0.4622257947921753,0.9276394248008728,0.20376576483249664
7,0.461206316947937,0.9426174759864807,0.1638675034046173,0.4622257947921753,0.9422256350517273,0.16637983918190002
8,0.46121200919151306,0.9474167227745056,0.15069471299648285,0.4622257947921753,0.9344887137413025,0.20430785417556763
9,0.46141961216926575,0.9486150741577148,0.14369527995586395,0.4622257947921753,0.9492805600166321,0.1524895280599594
10,0.46221932768821716,0.9511678814888,0.1389816254377365,0.4622839689254761,0.9468022584915161,0.16037222743034363
11,0.46235695481300354,0.9511033296585083,0.13948825001716614,0.4622257947921753,0.947607696056366,0.15068891644477844
12,0.46295034885406494,0.9522949457168579,0.13424238562583923,0.4622257947921753,0.9450327754020691,0.15616965293884277
13,0.4622722566127777,0.9532986879348755,0.1321541965007782,0.4622257947921753,0.947141706943512,0.16096356511116028
14,0.4636601507663727,0.957512378692627,0.12066854536533356,0.4622257947921753,0.9436457753181458,0.1929650604724884
15,0.4622427821159363,0.9570429921150208,0.1236691102385521,0.4622257947921753,0.9534158110618591,0.13833315670490265
16,0.46191537380218506,0.9574616551399231,0.12236741930246353,0.4623318016529083,0.9547430276870728,0.1373937427997589
17,0.46345847845077515,0.9591901898384094,0.11667072027921677,0.4622257947921753,0.9547832012176514,0.1426612287759781
18,0.46228522062301636,0.9608192443847656,0.10886220633983612,0.4623982906341553,0.9470014572143555,0.1498563438653946
19,0.46568241715431213,0.9612968564033508,0.10863340646028519,0.4629155993461609,0.9522932767868042,0.15273916721343994
20,0.4663887619972229,0.962692141532898,0.10328599810600281,0.4622257947921753,0.9447935223579407,0.18048354983329773
21,0.4650539457798004,0.9609962701797485,0.10877031087875366,0.4622257947921753,0.9462069272994995,0.15521222352981567
22,0.46706634759902954,0.9642314314842224,0.10276849567890167,0.4622257947921753,0.9514076113700867,0.13867942988872528
